time, timemax, Amax, beta0, beta1, beta2, beta3, beta4, beta5
2012-02-21, 2012-02-21T20:40:01.036800000, -17.313, 1022.996, 0.913, 61.733, 34.598, 87.576, 86.876
2012-02-22, 2012-02-22T23:49:01.036800000, -27.245, 1022.971, 0.939, 60.660, 42.204, 80.193, 87.800
2012-02-23, 2012-02-23T23:59:01.036800000, -19.788, 1022.813, 0.979, 54.613, 50.844, 70.520, 83.448
2012-02-24, 2012-02-24T13:13:01.036800000, -31.363, 1022.761, 1.000, 45.444, 47.401, 83.046, 70.631
2012-02-25, 2012-02-25T13:16:01.036800000, -33.250, 1022.748, 0.979, 42.169, 43.744, 87.138, 63.525
2012-02-26, 2012-02-26T13:56:01.036800000, -32.521, 1022.754, 0.987, 39.526, 45.237, 92.139, 67.778
2012-02-27, 2012-02-27T15:19:01.036800000, -41.472, 1022.887, 0.977, 50.629, 49.063, 89.825, 84.835
2012-02-28, 2012-02-28T15:54:01.036800000, -34.353, 1022.984, 0.982, 56.259, 47.683, 93.934, 91.878
2012-02-29, 2012-02-29T15:57:01.036800000, -30.445, 1022.978, 0.999, 50.847, 44.564, 105.643, 89.505
2012-03-01, 2012-03-01T06:00:01.036800000, 27.940, 1022.898, 0.915, 50.670, 36.642, 94.789, 79.242
2012-03-02, 2012-03-02T07:16:01.036800000, 33.263, 1022.900, 0.854, 51.717, 29.245, 88.961, 69.077
2012-03-03, 2012-03-03T14:40:01.036800000, -25.635, 1022.908, 0.874, 49.422, 31.104, 92.002, 69.244
2012-03-04, 2012-03-04T17:44:01.036800000, -33.417, 1022.871, 0.893, 48.629, 33.973, 89.202, 74.586
2012-03-05, 2012-03-05T22:48:01.036800000, 25.774, 1022.927, 0.854, 50.565, 29.071, 88.215, 62.351
2012-03-06, 2012-03-06T22:50:01.036800000, 35.254, 1023.017, 0.887, 53.607, 29.949, 94.452, 60.937
2012-03-07, 2012-03-07T00:28:01.036800000, 27.774, 1022.997, 0.908, 53.496, 35.008, 92.690, 63.272
2012-03-08, 2012-03-08T11:38:01.036800000, 18.363, 1022.996, 0.840, 56.091, 32.372, 87.901, 50.291
2012-03-09, 2012-03-09T05:24:01.036800000, -17.076, 1023.005, 0.821, 57.073, 32.028, 87.404, 43.833
2012-03-10, 2012-03-10T02:51:01.036800000, 19.831, 1022.960, 0.812, 55.829, 32.458, 85.762, 45.232
2012-03-11, 2012-03-11T02:52:01.036800000, -19.318, 1022.973, 0.805, 56.222, 35.859, 85.674, 46.347
2012-03-12, 2012-03-12T16:26:01.036800000, -23.035, 1023.041, 0.844, 58.173, 49.018, 87.808, 57.978
2012-03-13, 2012-03-13T17:29:01.036800000, -28.182, 1022.999, 0.779, 58.957, 48.087, 73.411, 59.911
2012-03-14, 2012-03-14T22:45:01.036800000, 24.048, 1023.027, 0.748, 59.187, 38.476, 70.568, 58.967
2012-03-15, 2012-03-15T14:32:01.036800000, -31.361, 1023.052, 0.718, 63.493, 29.074, 64.602, 54.392
2012-03-16, 2012-03-16T14:58:01.036800000, -36.195, 1023.087, 0.721, 67.124, 27.455, 64.987, 54.157
2012-03-17, 2012-03-17T05:48:01.036800000, -27.942, 1023.155, 0.714, 73.665, 27.857, 68.826, 48.917
2012-03-18, 2012-03-18T04:41:01.036800000, -32.970, 1023.224, 0.717, 78.030, 28.206, 70.073, 45.914
2012-03-19, 2012-03-19T18:31:01.036800000, -28.029, 1023.218, 0.696, 78.060, 25.721, 66.922, 39.907
2012-03-20, 2012-03-20T04:04:01.036800000, 18.693, 1023.287, 0.731, 79.082, 26.640, 69.901, 42.614
