time, timemax, Amax, beta0, beta1, beta2, beta3, beta4, beta5
2016-06-17 00:00:00, 2016-06-17T12:36:00.000000000, -24.196, 1023.551, 1.279, 81.969, 70.534, 72.998, 53.220
2016-06-18 00:00:00, 2016-06-18T02:13:00.000000000, -22.480, 1023.543, 1.278, 78.292, 70.303, 73.308, 51.781
2016-06-19 00:00:00, 2016-06-19T14:11:00.000000000, -23.733, 1023.531, 1.278, 73.804, 74.298, 73.261, 49.713
2016-06-20 00:00:00, 2016-06-20T21:35:00.000000000, 21.652, 1023.499, 1.279, 71.862, 78.558, 72.832, 47.483
2016-06-21 00:00:00, 2016-06-21T03:43:00.000000000, -25.863, 1023.481, 1.279, 72.044, 81.871, 72.051, 46.404
2016-06-22 00:00:00, 2016-06-22T18:21:00.000000000, -27.341, 1023.480, 1.278, 70.308, 83.909, 73.848, 44.846
2016-06-23 00:00:00, 2016-06-23T06:28:00.000000000, -25.387, 1023.467, 1.280, 68.889, 85.797, 75.060, 43.082
2016-06-24 00:00:00, 2016-06-24T07:38:00.000000000, -33.393, 1023.479, 1.280, 69.419, 85.200, 74.457, 43.095
2016-06-25 00:00:00, 2016-06-25T08:05:00.000000000, -21.805, 1023.465, 1.279, 69.032, 84.341, 74.329, 45.409
2016-06-26 00:00:00, 2016-06-26T15:35:00.000000000, 19.398, 1023.474, 1.278, 70.577, 82.452, 75.036, 48.303
2016-06-27 00:00:00, 2016-06-27T09:10:00.000000000, -27.469, 1023.488, 1.278, 71.967, 82.770, 75.870, 49.043
2016-06-28 00:00:00, 2016-06-28T16:38:00.000000000, 19.689, 1023.479, 1.278, 74.124, 88.490, 75.642, 48.823
2016-06-29 00:00:00, 2016-06-29T11:13:00.000000000, -22.753, 1023.464, 1.278, 75.289, 95.310, 74.962, 46.563
2016-06-30 00:00:00, 2016-06-30T11:08:00.000000000, -24.673, 1023.453, 1.279, 74.313, 99.645, 74.969, 44.598
2016-07-01 00:00:00, 2016-07-01T20:26:00.000000000, 26.679, 1023.465, 1.279, 73.492, 104.931, 76.013, 43.908
2016-07-02 00:00:00, 2016-07-02T21:49:00.000000000, 27.942, 1023.466, 1.279, 73.679, 108.522, 76.258, 42.193
2016-07-03 00:00:00, 2016-07-03T22:03:00.000000000, 25.637, 1023.468, 1.279, 75.048, 109.950, 75.774, 41.324
2016-07-04 00:00:00, 2016-07-04T03:59:00.000000000, -28.863, 1023.467, 1.280, 73.415, 111.561, 74.569, 41.360
2016-07-05 00:00:00, 2016-07-05T17:30:00.000000000, -29.158, 1023.471, 1.280, 72.973, 110.466, 74.324, 40.761
2016-07-06 00:00:00, 2016-07-06T04:37:00.000000000, -29.694, 1023.476, 1.279, 73.080, 111.066, 74.356, 39.515
2016-07-07 00:00:00, 2016-07-07T06:03:00.000000000, -31.017, 1023.468, 1.280, 72.640, 118.175, 75.473, 37.179
2016-07-08 00:00:00, 2016-07-08T07:37:00.000000000, -34.242, 1023.462, 1.280, 73.010, 120.975, 75.110, 35.669
2016-07-09 00:00:00, 2016-07-09T07:42:00.000000000, -43.605, 1023.456, 1.279, 71.932, 119.688, 74.155, 36.651
2016-07-10 00:00:00, 2016-07-10T08:34:00.000000000, -38.900, 1023.445, 1.280, 71.550, 119.086, 71.342, 36.515
2016-07-11 00:00:00, 2016-07-11T09:34:00.000000000, -27.059, 1023.422, 1.282, 70.651, 120.827, 69.072, 34.964
2016-07-12 00:00:00, 2016-07-12T08:47:00.000000000, -26.113, 1023.413, 1.281, 69.116, 125.025, 67.584, 34.156
2016-07-13 00:00:00, 2016-07-13T00:49:00.000000000, 21.638, 1023.416, 1.281, 69.850, 130.636, 70.098, 32.864
2016-07-14 00:00:00, 2016-07-14T18:45:00.000000000, 16.237, 1023.426, 1.281, 73.744, 137.749, 71.983, 33.359
2016-07-15 00:00:00, 2016-07-15T11:26:00.000000000, -16.206, 1023.427, 1.280, 73.216, 147.212, 75.240, 32.633
2016-07-16 00:00:00, 2016-07-16T23:59:00.000000000, -19.127, 1023.440, 1.280, 71.121, 149.418, 76.747, 31.786
2016-07-17 00:00:00, 2016-07-17T00:04:00.000000000, -20.963, 1023.468, 1.280, 70.152, 143.024, 75.098, 32.543
2016-07-18 00:00:00, 2016-07-18T14:22:00.000000000, -21.309, 1023.499, 1.280, 67.186, 136.777, 76.107, 34.971
2016-07-19 00:00:00, 2016-07-19T20:45:00.000000000, 23.286, 1023.534, 1.280, 65.876, 132.807, 77.851, 38.311
2016-07-20 00:00:00, 2016-07-20T04:22:00.000000000, -23.481, 1023.550, 1.280, 66.124, 131.081, 76.416, 40.147
2016-07-21 00:00:00, 2016-07-21T03:27:00.000000000, -24.817, 1023.558, 1.279, 64.682, 128.756, 76.154, 40.541
2016-07-22 00:00:00, 2016-07-22T06:02:00.000000000, -22.775, 1023.543, 1.279, 61.020, 123.698, 75.376, 45.322
2016-07-23 00:00:00, 2016-07-23T06:14:00.000000000, -27.271, 1023.543, 1.280, 58.864, 117.467, 75.586, 53.445
2016-07-24 00:00:00, 2016-07-24T06:10:00.000000000, -36.413, 1023.547, 1.279, 55.456, 112.524, 77.059, 62.755
2016-07-25 00:00:00, 2016-07-25T06:58:00.000000000, -33.695, 1023.600, 1.279, 52.385, 111.815, 82.723, 69.502
2016-07-26 00:00:00, 2016-07-26T07:27:00.000000000, -26.258, 1023.617, 1.278, 54.038, 112.295, 83.250, 69.842
2016-07-27 00:00:00, 2016-07-27T13:25:00.000000000, 27.895, 1023.593, 1.279, 59.040, 111.899, 79.765, 62.031
2016-07-28 00:00:00, 2016-07-28T08:39:00.000000000, -31.708, 1023.550, 1.279, 63.637, 125.700, 75.244, 50.444
2016-07-29 00:00:00, 2016-07-29T09:03:00.000000000, -28.635, 1023.551, 1.280, 62.962, 133.258, 74.225, 45.836
2016-07-30 00:00:00, 2016-07-30T10:37:00.000000000, -27.708, 1023.535, 1.280, 60.870, 128.526, 70.640, 43.928
2016-07-31 00:00:00, 2016-07-31T10:19:00.000000000, -30.941, 1023.520, 1.281, 56.294, 121.351, 67.746, 45.030
2016-08-01 00:00:00, 2016-08-01T12:12:00.000000000, -27.750, 1023.536, 1.280, 48.259, 108.043, 69.458, 54.046
2016-08-02 00:00:00, 2016-08-02T20:24:00.000000000, 27.027, 1023.590, 1.278, 48.092, 103.760, 75.500, 61.979
2016-08-03 00:00:00, 2016-08-03T09:13:00.000000000, 30.070, 1023.630, 1.279, 53.560, 119.658, 81.436, 58.266
2016-08-04 00:00:00, 2016-08-04T22:02:00.000000000, 22.478, 1023.627, 1.278, 54.889, 129.200, 83.907, 53.796
2016-08-05 00:00:00, 2016-08-05T05:34:00.000000000, -24.334, 1023.618, 1.278, 56.581, 135.853, 83.725, 49.096
2016-08-06 00:00:00, 2016-08-06T06:02:00.000000000, -29.906, 1023.601, 1.278, 58.641, 141.852, 81.834, 40.472
2016-08-07 00:00:00, 2016-08-07T07:14:00.000000000, -32.624, 1023.592, 1.279, 59.006, 141.833, 81.193, 35.644
2016-08-08 00:00:00, 2016-08-08T07:58:00.000000000, -38.531, 1023.590, 1.279, 60.367, 142.456, 80.373, 35.053
2016-08-09 00:00:00, 2016-08-09T08:57:00.000000000, -29.426, 1023.595, 1.279, 62.673, 141.020, 79.807, 36.715
2016-08-10 00:00:00, 2016-08-10T09:36:00.000000000, -26.473, 1023.592, 1.280, 64.109, 142.812, 80.235, 38.873
2016-08-11 00:00:00, 2016-08-11T10:25:00.000000000, -27.826, 1023.589, 1.279, 64.673, 141.493, 79.986, 38.265
2016-08-12 00:00:00, 2016-08-12T11:27:00.000000000, -28.044, 1023.594, 1.280, 64.951, 139.614, 78.701, 37.050
2016-08-13 00:00:00, 2016-08-13T11:54:00.000000000, -25.658, 1023.601, 1.279, 65.724, 140.020, 79.247, 36.664
2016-08-14 00:00:00, 2016-08-14T00:01:00.000000000, -19.248, 1023.612, 1.280, 66.225, 141.011, 80.147, 38.255
2016-08-15 00:00:00, 2016-08-15T14:46:00.000000000, -21.337, 1023.614, 1.279, 63.118, 135.238, 81.749, 39.722
2016-08-16 00:00:00, 2016-08-16T01:08:00.000000000, -17.373, 1023.598, 1.279, 60.504, 134.504, 79.173, 38.952
2016-08-17 00:00:00, 2016-08-17T16:28:00.000000000, -19.821, 1023.599, 1.280, 55.339, 128.375, 79.180, 41.271
2016-08-18 00:00:00, 2016-08-18T21:04:00.000000000, 20.946, 1023.610, 1.278, 50.509, 122.512, 79.109, 46.790
2016-08-19 00:00:00, 2016-08-19T21:14:00.000000000, 22.962, 1023.616, 1.279, 49.489, 121.443, 81.468, 47.542
2016-08-20 00:00:00, 2016-08-20T04:54:00.000000000, -23.746, 1023.623, 1.278, 50.539, 119.386, 83.075, 47.499
2016-08-21 00:00:00, 2016-08-21T05:25:00.000000000, -20.231, 1023.638, 1.279, 51.555, 118.995, 84.175, 47.788
2016-08-22 00:00:00, 2016-08-22T07:12:00.000000000, -24.704, 1023.647, 1.277, 52.385, 116.778, 85.317, 48.544
2016-08-23 00:00:00, 2016-08-23T06:26:00.000000000, -27.001, 1023.654, 1.277, 52.288, 119.844, 85.788, 48.474
2016-08-24 00:00:00, 2016-08-24T09:47:00.000000000, -28.725, 1023.664, 1.277, 50.427, 122.558, 88.644, 48.232
2016-08-25 00:00:00, 2016-08-25T16:24:00.000000000, 26.212, 1023.685, 1.276, 49.978, 119.381, 92.200, 48.898
2016-08-26 00:00:00, 2016-08-26T15:32:00.000000000, 27.737, 1023.673, 1.277, 53.855, 115.359, 91.519, 46.096
2016-08-27 00:00:00, 2016-08-27T03:52:00.000000000, 27.799, 1023.668, 1.279, 59.138, 117.809, 86.818, 43.901
