time,timemax,Amax,beta0,beta1,beta2,beta3,beta4,beta5,a0,Ls,alpha,C
2016-05-14,2016-05-14 00:15:00,-26.8120,1023.5850,1.2810,71.8450,57.5410,81.4700,52.0910,21.3384,144998.2510,-0.0057,1.5773
2016-05-15,2016-05-15 05:14:00,22.9300,1023.5980,1.2800,70.5360,59.0310,82.1620,51.8840,18.4260,168198.2782,-0.0057,1.5719
2016-05-16,2016-05-16 18:11:00,22.0190,1023.5860,1.2790,69.7070,56.4000,83.8150,51.1140,17.6897,173341.9536,-0.0057,1.5703
2016-05-17,2016-05-17 13:54:00,-23.7790,1023.5890,1.2800,69.8810,53.8640,84.1990,51.3910,19.0964,157392.1158,-0.0058,1.5709
2016-05-18,2016-05-18 16:43:00,-20.5820,1023.6000,1.2810,68.9670,51.8490,83.8200,50.7880,16.4713,174877.2328,-0.0061,1.5692
2016-05-19,2016-05-19 14:34:00,-22.4100,1023.5970,1.2810,69.0620,52.9240,82.8330,50.6950,17.9846,159807.0331,-0.0061,1.5699
2016-05-20,2016-05-20 22:52:00,18.6990,1023.6020,1.2800,68.7760,52.5340,82.7550,48.7440,15.0484,191789.5948,-0.0061,1.5734
2016-05-21,2016-05-21 23:22:00,19.7690,1023.6130,1.2800,69.6410,53.1790,81.9500,50.2640,15.8301,182010.0069,-0.0061,1.5729
2016-05-22,2016-05-22 00:07:00,17.7990,1023.6150,1.2810,70.2340,51.3970,81.7220,51.6680,14.4103,195441.3767,-0.0062,1.5722
2016-05-23,2016-05-23 03:31:00,-19.4280,1023.6180,1.2810,68.8040,48.7370,83.2550,51.6500,15.7499,172950.5566,-0.0064,1.5660
2016-05-24,2016-05-24 05:24:00,-16.7800,1023.6260,1.2800,68.0730,45.9930,85.2900,51.2790,13.5934,198296.6416,-0.0064,1.5629
2016-05-25,2016-05-25 05:41:00,-17.4040,1023.6170,1.2810,68.3180,47.0520,83.7440,52.7500,14.1185,187151.1660,-0.0066,1.5608
2016-05-26,2016-05-26 05:21:00,-15.1270,1023.6150,1.2800,68.8390,45.1310,82.9290,51.6840,12.3250,210645.6101,-0.0067,1.5653
2016-05-27,2016-05-27 07:04:00,-17.1440,1023.6090,1.2790,68.8710,43.9460,81.8480,49.9950,13.8928,183741.9595,-0.0069,1.5694
2016-05-28,2016-05-28 08:39:00,-20.3020,1023.5940,1.2800,68.6940,45.2450,80.8370,49.9140,16.4354,154819.2353,-0.0069,1.5694
2016-05-29,2016-05-29 09:27:00,-16.1580,1023.5980,1.2800,68.6730,45.9840,79.6910,49.6970,13.1430,191939.4393,-0.0070,1.5698
2016-05-30,2016-05-30 17:22:00,13.5790,1023.6130,1.2790,70.3330,44.0130,80.2430,49.3230,11.0883,232264.0019,-0.0069,1.5780
2016-05-31,2016-05-31 19:50:00,16.7590,1023.6070,1.2790,70.0480,41.3010,82.4470,48.0150,13.5662,191427.0042,-0.0068,1.5801
2016-06-01,2016-06-01 12:21:00,-19.2310,1023.6100,1.2790,69.8790,39.6950,83.9170,47.7450,15.3838,169276.8910,-0.0068,1.5798
2016-06-02,2016-06-02 22:44:00,20.4440,1023.6090,1.2790,68.8520,41.2850,84.2670,48.3370,16.3257,159657.4533,-0.0068,1.5734
2016-06-03,2016-06-03 14:46:00,-25.4820,1023.6130,1.2810,67.2210,44.3630,85.6440,49.1670,20.3449,131122.1482,-0.0065,1.5651
2016-06-04,2016-06-04 03:52:00,-25.7080,1023.6110,1.2800,65.2190,42.4600,88.5590,48.5600,20.4578,129682.9096,-0.0065,1.5562
2016-06-05,2016-06-05 00:06:00,30.1590,1023.5990,1.2800,63.5150,41.2440,89.4240,50.1860,23.4940,107812.2575,-0.0067,1.5434
2016-06-06,2016-06-06 05:18:00,-28.1400,1023.5940,1.2800,61.7080,41.1910,90.3360,49.5450,22.2762,112576.0609,-0.0067,1.5364
2016-06-07,2016-06-07 16:12:00,-27.1450,1023.6140,1.2800,62.7810,42.0360,89.6420,52.2690,21.5461,115372.2950,-0.0067,1.5345
2016-06-08,2016-06-08 00:34:00,25.7860,1023.6270,1.2780,64.2130,43.1930,87.8910,54.4020,20.5946,119582.4324,-0.0068,1.5348
2016-06-09,2016-06-09 01:59:00,23.7280,1023.6040,1.2790,64.9540,46.0540,86.7660,55.7850,19.0947,131431.4988,-0.0067,1.5358
2016-06-10,2016-06-10 14:59:00,25.7590,1023.5960,1.2780,66.9230,50.9510,86.7860,56.1110,20.6538,133132.1919,-0.0062,1.5441
2016-06-11,2016-06-11 15:49:00,25.2490,1023.5920,1.2800,70.2650,57.9290,85.9060,57.2660,20.3204,153055.6518,-0.0055,1.5564
2016-06-12,2016-06-12 18:00:00,29.1520,1023.5670,1.2790,72.1110,66.0970,85.1840,55.5690,23.1600,153148.3144,-0.0049,1.5667
2016-06-13,2016-06-13 09:38:00,-25.7090,1023.5430,1.2790,76.1670,70.0850,83.2740,54.7150,20.5018,192656.1314,-0.0045,1.5823
2016-06-14,2016-06-14 18:43:00,21.2440,1023.5300,1.2790,78.2500,71.8920,80.3710,52.4730,16.9696,240133.5473,-0.0044,1.5947
2016-06-15,2016-06-15 11:02:00,-20.6970,1023.5220,1.2790,78.9520,78.1360,76.8590,49.8980,16.4656,253577.4466,-0.0044,1.6010
2016-06-16,2016-06-16 11:23:00,-17.4560,1023.5440,1.2770,81.9910,75.8000,72.8530,51.4530,14.0209,286648.6787,-0.0046,1.6055
2016-06-17,2016-06-17 12:36:00,-24.1960,1023.5510,1.2790,81.9690,70.5340,72.9980,53.2200,19.3591,195813.0485,-0.0048,1.6050
2016-06-18,2016-06-18 02:13:00,-22.4800,1023.5430,1.2780,78.2920,70.3030,73.3080,51.7810,18.0309,194764.2082,-0.0052,1.5954
2016-06-19,2016-06-19 14:11:00,-23.7330,1023.5310,1.2780,73.8040,74.2980,73.2610,49.7130,19.0316,173462.9183,-0.0054,1.5829
