-0.000000,498.973000
5000.000000,461.231002
10000.000000,437.709315
15000.000000,420.464438
20000.000000,412.921201
25000.000000,401.916357
30000.000000,395.859306
35000.000000,397.928346
40000.000000,403.908949
45000.000000,397.602107
50000.000000,374.011952
55000.000000,361.697734
60000.000000,375.065251
65000.000000,355.477674
70000.000000,338.183815
75000.000000,316.309384
80000.000000,295.648686
85000.000000,288.103302
90000.000000,278.777362
95000.000000,268.449849
100000.000000,252.688659
